adref,description,created,title,longitude,salary_is_predicted,id,redirect_url,latitude,__CLASS__,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,salary_max,salary_min,contract_time,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwOTc0OSIsInMiOiJYQjVnMU82TThSR295OUxNaU9jbWxRIn0.Xgsu3J8Fh1r3AfI-0n5gpebq2LTQvXljNdz_bc2oo6E,"Job Description Job Description French version below QA Lead – AI & Agentic Quality Engineering Location / Work Model : Remote, Hybrid, or Onsite (Flexible) Role Overview FortNine is seeking a QA Lead – AI & Agentic Quality Engineering to build and lead our Quality Engineering function. This role combines QA leadership, Magento storefront expertise, test automation, and AI-driven quality engineering. You will define our testing strategy, improve release quality, lead QA processes, and help buil…",2026-07-31T06:43:07Z,QA Lead - AI & Agentic Quality Engineering / Responsable QA - IA et systèmes agentiques,-73.588138,0,5822309749,https://www.adzuna.ca/details/5822309749?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,FortNine,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwODU5MiIsInMiOiJYQjVnMU82TThSR295OUxNaU9jbWxRIn0.16eNsLMacYDidCKYbM8-REdBh7qZrsMUMwYkq1K8Wcs,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Delivery Manager to lead the successful delivery of Enterprise Master Data Management (MDM) solutions using TIBCO EBX within the insurance industry. The ideal candidate will have strong expertise in EBX, insurance data domains, delivery management, stakeholder engagement, and team leadership. This role is responsible for driving end-to-end implementation, ensuring data quality, governance, and alignmen…",2026-07-31T06:42:33Z,EBX Specialization Delivery Manager,-73.588138,0,5822308592,https://www.adzuna.ca/details/5822308592?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEI1ZzFPNk04UkdveTlMTWlPY21sUSIsImkiOiI1ODIyMzA2MDYwIn0.D2LKYXc607Ae58qkASIuNLbjIy7Spi-SvfJOHSsgp7g,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Business Architect with deep expertise in TIBCO EBX Master Data Management (MDM) and the insurance industry. The Business Architect will bridge business and technology by defining enterprise data strategies, designing business processes, and implementing data governance solutions that support digital transformation initiatives. The ideal candidate will possess strong insurance domain knowledge, busines…",2026-07-31T06:39:46Z,EBX Specialization Business Architect,-73.588138,0,5822306060,https://www.adzuna.ca/details/5822306060?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjMwNTY4NSIsInMiOiJYQjVnMU82TThSR295OUxNaU9jbWxRIn0.8VYYhQUbNGQINsLnSADhnNtwPs87x4qfJbLqokJF4js,"Job Description Job Description Description: We are seeking an experienced EBX Specialization QA Lead to lead quality assurance activities for TIBCO EBX Master Data Management (MDM) implementations within the insurance domain. The ideal candidate will be responsible for defining the QA strategy, leading test planning and execution, ensuring data quality and application quality, and validating that EBX solutions meet business, regulatory, and technical requirements. This role requires close coll…",2026-07-31T06:39:19Z,EBX Specialization QA Lead,-73.588138,0,5822305685,https://www.adzuna.ca/details/5822305685?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEI1ZzFPNk04UkdveTlMTWlPY21sUSIsImkiOiI1ODIyMzAzODQwIn0.9ENeXDGU3S9KpEVK4ilXn0xr9qGdbwVyT7E1YssRiwg,"Job Description Job Description Description: The Project Sponsor is responsible for the strategy, project delivery, business value creation, and organizational adoption of Capital Markets modernization initiatives. They define the project scope, confirm the delivery model, and ensure the program remains aligned with Desjardins’ strategic priorities, investment themes, risk appetite, and value creation objectives for clients and members. This role provides visible executive leadership to busines…",2026-07-31T06:37:08Z,Project Sponsor,-73.588138,0,5822303840,https://www.adzuna.ca/details/5822303840?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjI5OTkyMCIsInMiOiJYQjVnMU82TThSR295OUxNaU9jbWxRIn0.mod4E_UggQbuXybS0vRx6swYn2OWB0OuD5zaFNibV3g,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Governance Lead to establish and lead enterprise Data Governance and Master Data Management (MDM) initiatives using TIBCO EBX within the insurance domain. The successful candidate will define governance strategies, policies, standards, and operating models to ensure high-quality, trusted master data across the organization. This role will work closely with business stakeholders, data stewards, architec…",2026-07-31T06:34:06Z,EBX Specialization Governance Lead,-73.588138,0,5822299920,https://www.adzuna.ca/details/5822299920?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEI1ZzFPNk04UkdveTlMTWlPY21sUSIsImkiOiI1ODIyMjk5NjI2In0.FXi5wExxFl5YmwavfIYzD4lNQeYTHC976HET32DV1WI,"Job Description Job Description  English version will follow  IT Unlock est à l'avant-garde de la transformation numérique, exploitant notre expertise approfondie pour relever les défis informatiques multifacettes. Que ce soit pour les services gérés d'applications, MSP, MSSP, la gestion des données, les analyses avancées de données, ERP, CRM ou les solutions d'IA pionnières, notre équipe chevronnée est prête à concevoir et à fournir des solutions sur mesure adaptées à vos besoins commerciaux. …",2026-07-31T06:33:35Z,Project Manager - ERP Implementation,-73.588138,0,5822299626,https://www.adzuna.ca/details/5822299626?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,IT UNLOCK CONSULTING INC.,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,270400.0,249600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEI1ZzFPNk04UkdveTlMTWlPY21sUSIsImkiOiI1ODIyMjk1Mjg4In0.HtudR8oVNMLg_MWj5Z_LxFaeUzhRhuMIGyHtCIAEZxY,"Job Description Job Description Description: We are seeking an experienced EBX Specialization Project Manager to lead the planning, execution, and successful delivery of TIBCO EBX Master Data Management (MDM) initiatives within the insurance industry. The ideal candidate will have strong project management expertise, extensive experience managing enterprise data and MDM projects, and a solid understanding of insurance business processes. This role requires close collaboration with business stak…",2026-07-31T06:32:11Z,EBX Specialization Project Manager,-73.588138,0,5822295288,https://www.adzuna.ca/details/5822295288?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,Maarut,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,156000.0,145600.0,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyMjI2NzkxMSIsInMiOiJYQjVnMU82TThSR295OUxNaU9jbWxRIn0.ZQmKg8B4X5FAKV3lrjcxhl4HUa-td2opaHcYQVl36y8,"Job Description Job Description Kronos has a long history of avionics engineering working with some of the largest aircraft integrators in the world. We always provide our partners with 100% customers satisfaction and on time delivery. If you are excited about working for a company that takes its job seriously and does not cut corners you will have a home with Kronos. Analytics Engineer Job Summary We are seeking a Analytics Engineer who thrives on turning complex, raw data into reliable, well-…",2026-07-31T06:25:37Z,Analytics Engineer I,-73.588138,0,5822267911,https://www.adzuna.ca/land/ad/5822267911?se=XB5g1O6M8RGoy9LMiOcmlQ&utm_medium=api&utm_source=e90db681&v=DB939FD41A90ECE0BE2BBEA5DB7EDAAF41FF35F2,45.544959,Adzuna::API::Response::Job,Kronos Consulting,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWEI1ZzFPNk04UkdveTlMTWlPY21sUSIsImkiOiI1ODIxODU3MDA0In0.wBao1sqsahACNOAQJly9xeWhaSdVXWiyjcFsbSW0tGE,"Tender Retail recherche un développeur logiciel pour rejoindre son équipe Recherche et Développement. Le candidat idéal est autonome, débrouillard et doté d'un excellent esprit d'équipe. Il devra s'intégrer dans une équipe agile Scrum et collaborer avec différents intervenants pour concevoir, développer et optimiser des solutions de paiement. Notre secteur d’activité couvre les paiements aux points de vente ainsi que les paiements électroniques via des infrastructures de traitement des transact…",2026-07-30T21:56:14Z,Analyste-programmeur,-73.588138,0,5821857004,https://www.adzuna.ca/details/5821857004?utm_medium=api&utm_source=e90db681,45.544959,Adzuna::API::Response::Job,ACCEO Solutions Inc.,Adzuna::API::Response::Company,"Montréal, Québec",Adzuna::API::Response::Location,"['Canada', 'Québec', 'Montréal']",it-jobs,Adzuna::API::Response::Category,IT Jobs,122720.0,122720.0,full_time,permanent
