id,salary_is_predicted,title,description,created,latitude,contract_time,adref,redirect_url,__CLASS__,longitude,location.__CLASS__,location.display_name,location.area,company.display_name,company.__CLASS__,category.label,category.tag,category.__CLASS__,contract_type
4801403543,0,Stagiaire,"Offre de stage Techniques administratives ORGANISATION Nom : PME Solutions, www.pmesolutions.ca DescriptioN : PME Solutions comptables et conseils est une entreprise venant en aide aux entrepreneurs et aux PME de divers domaine en leur offrant différents services comptables tels que ; tenue de livres, implantation, conception de plans d’affaires, etc. Lieu de stage : Le travail se fait principalement chez les clients. Possibilité d’obtenir de nouveaux mandats donc d’être appelé à se déplacer à …",2024-07-30T17:33:06Z,45.544959,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUpELUtmQ004UkdOek9fZlFkOU9MZyIsImkiOiI0ODAxNDAzNTQzIn0.z0uQjZH_WRgYTXZbJR1eyW4eLFPfNT09rRCfU03CxeQ,https://www.adzuna.ca/details/4801403543?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",PME Solutions,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801399045,0,Tech Lead Java Cloud,"Tu cherches un nouveau défi en tant que Tech Lead à Montréal ? Rejoins Maplr , où nous sommes à la recherche de talents exceptionnels pour accompagner des projets technologiques innovants et stratégiques qui redéfinissent l’avenir du Québec. Qui sommes-nous ? Maplr, c’est une aventure humaine et technologique ! Nous connectons les meilleurs talents tech du monde avec des projets innovants qui façonnent l’avenir du Québec. Chez Maplr, chaque mission est une opportunité d’innover, chaque équipe e…",2024-07-30T17:32:47Z,45.50687,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM5OTA0NSIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.HXbErIqqyyUAw3PMHztCMJtVrasxqSJuF72HnCVza1A,https://www.adzuna.ca/details/4801399045?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.56065,Adzuna::API::Response::Location,"Westmount, Montréal","['Canada', 'Québec', 'Montréal', 'Westmount']",Maplr,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801395357,0,Machine Learning Engineer,"We are looking for a brilliant machine learning engineer to join our Montreal development team. You will work on state of the art computer vision and machine learning projects, surrounded by a group of passionate, expert developers. Your work will directly affect technology that is being used by some of the top companies in the world. Kogniz is growing fast and this is your chance to be part of the next great venture-backed startup. Undergraduate or graduate degree in computer science or simila…",2024-07-30T17:32:29Z,45.544959,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUpELUtmQ004UkdOek9fZlFkOU9MZyIsImkiOiI0ODAxMzk1MzU3In0.21BchYRAqPvxcP1y3yUMyrPxm-e115gCAWrbnglYW0U,https://www.adzuna.ca/details/4801395357?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Kogniz,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801394658,0,Technicien(s) réseau dynamique(s),"Nous sommes à la recherche de technicien(s) réseau dynamique(s). Le postulant devra être à l'aise avec les réseaux Microsoft, environnements Windows, Active Directory, support technique à l’utilisateur distant et bien d’autres, Connaissances dans VMware (virtualisation de serveurs) appréciées. Nous cherchons des gens débrouillards, autonomes et responsables, capable de travailler en équipe efficacement. Un bon français est essentiel, une maîtrise de l’anglais est un atout. TÂCHES Travailler en …",2024-07-30T17:32:25Z,45.751067,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUpELUtmQ004UkdOek9fZlFkOU9MZyIsImkiOiI0ODAxMzk0NjU4In0.a3XmG-HcEyT2VNVonflDVOi-DrsvsZ-qqQJtm1kv6To,https://www.adzuna.ca/details/4801394658?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.447279,Adzuna::API::Response::Location,"Repentigny, L'Assomption","['Canada', 'Québec', 'Lanaudière', ""L'Assomption"", 'Repentigny']",Info360,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801381722,0,Stage en développement logiciel,"Qui nous sommes On est une start-up techno qui développe un moteur de recherche pour le système de santé digital de demain. Les entreprises de toutes tailles (Dialogue, Teladoc, Healthtap, Dermago, Empego, CHUM et plus encore) utilisent notre suite d’outils pour faciliter la navigation de leurs utilisateurs au sein du système de santé au Canada. Sache que pour y arriver, on travaille avec ce qu’il y a de plus cutting-edge et on n’a pas l’intention d’arrêter. Ce qu’on recherche Un FIT . On cherc…",2024-07-30T17:31:21Z,45.544959,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM4MTcyMiIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.EdE8qU9gppQJXBVOMwD7FHUP2k8ZhNMRtwNtLTrMzz0,https://www.adzuna.ca/details/4801381722?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Clinia,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,contract
4801381458,0,Développeur/Développeuse Java Fullstack,"Tu recherches un nouveau challenge en tant que Développeur·euse Java à Montréal ? Tu es à la bonne place ! Rejoins-nous chez Maplr ! Nous sommes à la recherche de talents exceptionnels comme toi, prêts à contribuer à des projets d'envergure qui façonneront l'avenir du Québec, tout en vivant une aventure humaine incroyable de l'autre côté de l'Atlantique. Qui sommes-nous ? Maplr, c’est une aventure humaine et technologique ! Nous connectons les meilleurs talents tech du monde avec des projets in…",2024-07-30T17:31:20Z,45.50687,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM4MTQ1OCIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.T38nNm-tVqsB8dtL2y5d5dEeshLFiFSKvBn0yIjvYKo,https://www.adzuna.ca/details/4801381458?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.56065,Adzuna::API::Response::Location,"Westmount, Montréal","['Canada', 'Québec', 'Montréal', 'Westmount']",Maplr,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801377587,0,Analytics Engineer,"About The Role At Maxa, Analytics Engineers provide clean data sets, modeling data in a way that empowers end users to answer their own questions. Analytics Engineers can also develop reports and train users on how to use data in visualizations tools. This role requires excellent software engineering, data modeling and reporting skills. Key Responsibilities Working with customers & document business data definitions and rules; Create meaningful data models; Create a reliable, generic, and autom…",2024-07-30T17:31:05Z,45.544959,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM3NzU4NyIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.iVrhnybVkXK13Po83l1mtozmp6BtcxwEo_HPS6FDTOw,https://www.adzuna.ca/details/4801377587?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Maxa AI,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801376545,0,"Software Engineer, Intermediate or Senior","Index is an Artificial Intelligence company specializing in Web Marketing. Index is innovating the marketing business and how enterprises and people interact with it. Its flagship product, Alya.ai , leverages state-of-the-art AI technologies to help companies manage whole marketing portfolios with ease. As part of its expansion, Index is looking for a new full time Software Engineer to be part of its Montreal team. You will be a great addition to the team if you are a communicative person that …",2024-07-30T17:30:59Z,45.544959,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM3NjU0NSIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.roWBrVgAVgorA796IL8ndZOeV20vEBZxYZUzYhUQZH4,https://www.adzuna.ca/details/4801376545?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Agence Index,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801375875,0,C++ Software Engineer,"We are looking for a great C++ developer to join our Montreal development team. You will work on state of the art computer vision and machine learning projects, surrounded by a group of passionate, expert developers. Your work will directly affect technology that is being used by some of the top companies in the world. Kogniz is growing fast and this is your chance to be part of the next great venture-backed startup. You attended a top university, studying computer science or similar You are an…",2024-07-30T17:30:55Z,45.544959,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDgwMTM3NTg3NSIsInMiOiJhSkQtS2ZDTThSR056T19mUWQ5T0xnIn0.LXWHiDn1Vt0vpfk8Yqp7LRIyr1seI3116aIkp-w-e6s,https://www.adzuna.ca/details/4801375875?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Kogniz,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
4801375584,0,Senior Software QA Engineer,"About TTC The Testing Consultancy (TTC) is a global specialist software testing company with a focus on helping organizations transform the way they deliver quality software. We have broad capabilities across a wide range of testing areas that enable our clients to increase the speed and quality of software development while reducing risk and cost. Perks of working for TTC Competitive Base Salary Medical, Dental, Vision Benefits 401K w/ company match Paid Time Off Paid Holidays Work Life Balanc…",2024-07-30T17:30:53Z,45.544959,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUpELUtmQ004UkdOek9fZlFkOU9MZyIsImkiOiI0ODAxMzc1NTg0In0.pA6U46goNjiOhpdfaE7FcPZXNZBbayKewYciI13Mugc,https://www.adzuna.ca/details/4801375584?utm_medium=api&utm_source=e90db681,Adzuna::API::Response::Job,-73.588138,Adzuna::API::Response::Location,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",TTC Global,Adzuna::API::Response::Company,IT Jobs,it-jobs,Adzuna::API::Response::Category,
