latitude,adref,created,longitude,redirect_url,id,title,description,salary_is_predicted,__CLASS__,category.label,category.__CLASS__,category.tag,location.area,location.display_name,location.__CLASS__,company.__CLASS__,company.display_name,contract_type,contract_time,salary_max,salary_min
45.462763,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZHVGUXcyR1A4Ukd3QWR0bV9faENSQSIsImkiOiI1ODI2NzU3NTg5In0.6hs9tUVPwQm1su7-ECuhH67MLO4y2HVH-d-cc6MoHFk,2026-08-03T13:18:08Z,-73.368706,https://www.adzuna.ca/land/ad/5826757589?se=duFQw2GP8RGwAdtm__hCRA&utm_medium=api&utm_source=e90db681&v=07C15FF3976DD698EFBEC251ADB911F45C3A1E35,5826757589,Réceptionniste,"Ce que nous offrons Une ambiance de travail chaleureuse et familiale Des congés de maladie payés RVER Un programme de reconnaissance des employés De la formation continue Et plus encore… Sommaire du poste À titre de réceptionniste, vous serez le cœur de la résidence. Vous serez appelé à accueillir les visiteurs et les résidents et à les diriger. Vous recevrez et acheminerez les appels téléphoniques et vous fournirez des renseignements généraux. Vous appuierez la direction de la résidence et eff…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montérégie', 'Champlain', 'Saint-Hubert']","Saint-Hubert, Champlain",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Chartwell Résidences pour retraités,,,,
45.504965,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZHVGUXcyR1A4Ukd3QWR0bV9faENSQSIsImkiOiI1ODI2NzQ2MDg3In0.98U8gwbva_qr2EMG_dUafYXmGdgbEgeKbs4Ycpv1pdg,2026-08-03T13:13:39Z,-73.562289,https://www.adzuna.ca/details/5826746087?utm_medium=api&utm_source=e90db681,5826746087,Mathematics Expert,"Job Description: Remote contract for PhDs in Mathematics, Statistics, or related fields. Work on cutting-edge projects with top AI labs while earning $100/hour, fully remote, with flexible weekly hours. No AI experience required. Role Overview: Help fine-tune large language models (like ChatGPT) using your math and analytical skills. You’ll design problems, check how well AI solves them, and work with researchers to build better benchmarks. Responsibilities: Design advanced math problems to tes…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal', 'Westmount']","Westmount, Montréal",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Turing,contract,full_time,416000.0,208000.0
45.448835,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNjcyMTc1MSIsInMiOiJkdUZRdzJHUDhSR3dBZHRtX19oQ1JBIn0.uOgF6aa1Ex_aC1x2Hut8bJmJAsF5ADPWAIxReW0xl0g,2026-08-03T12:28:11Z,-73.754293,https://www.adzuna.ca/details/5826721751?utm_medium=api&utm_source=e90db681,5826721751,Analyste Systèmes Informatiques 2,"En fonction du poste, Bombardier offre des politiques de travail flexibles et hybrides. Pourquoi vous joindre à nous? Chez Bombardier, nous concevons, construisons, modifions et entretenons les avions les plus performants du monde pour les individus, les entreprises, les gouvernements et les entités militaires les plus avisés. Nous réussissons à établir les normes les plus élevées grâce à notre approche centrée sur les personnes, et toujours en définissant l'excellence, ensemble. Travailler che…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal', 'Dorval']","Dorval, Montréal",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Bombardier,,,,
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNjY3MTM3NCIsInMiOiJkdUZRdzJHUDhSR3dBZHRtX19oQ1JBIn0.f5e3f2Q-vI64Cyi9ZqyPnBs2QWsK_nk4-sH1LUONLY8,2026-08-03T11:16:32Z,-73.588138,https://www.adzuna.ca/details/5826671374?utm_medium=api&utm_source=e90db681,5826671374,"Analyste, Intégrations API et système de paie","Position Description: CGI Centre de services de paie (CSP) propose des solutions infonuagiques tout en un qui simplifient la paie et la gestion du capital humain. Nous sommes fiers de nos relations privilégiées avec les clients le taux de satisfaction de ceux ci est d'ailleurs très élevé. Tous les jours nos associés aident des milliers de clients à effectuer les paies de leurs employés dans différentes industries. Dans ce rôle, vous contribuerez à la réussite des entreprises locales au sein d'u…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,CGI,,full_time,,
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZHVGUXcyR1A4Ukd3QWR0bV9faENSQSIsImkiOiI1ODI2NjcxMzUwIn0.m4zMjlcEWZYePdGxpq1UtxNNig31kheBw9fZYYkQreQ,2026-08-03T11:16:28Z,-73.588138,https://www.adzuna.ca/details/5826671350?utm_medium=api&utm_source=e90db681,5826671350,Developpeur Java Senior/Expert,"Position Description: Chez CGI, nous recherchons un(e) Développeur(se) Java Senior / Expert passionné(e) par l’architecture backend, les environnements cloud modernes et les solutions à fort impact d’affaires. Vous participerez à des projets stratégiques dans les secteurs : bancaire, finance et assurance, au sein d’équipes qui valorisent l’innovation, la qualité logicielle et l’excellence technique. Vous aurez l’occasion de contribuer à la conception et au développement de microservices robuste…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,CGI,,full_time,,
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZHVGUXcyR1A4Ukd3QWR0bV9faENSQSIsImkiOiI1ODI2NjcwNzMzIn0.sQ89neDbRRjRumrhAbPF_IWvkPclRrOvF54cxTfZKtk,2026-08-03T11:14:29Z,-73.588138,https://www.adzuna.ca/details/5826670733?utm_medium=api&utm_source=e90db681,5826670733,Développeur.euse Mobile Sénior,"Développeur.euse Mobile Sénior Poste permanent à temps plein, bilingue (anglais/français) dans le Grand Montréal Sherpa recherche des développeurs et développeuses mobile, ayant de l’expérience sur iOS ou Android. En rejoignant l’équipe mobile de Sherpa, vous allez travailler sur des applications mobiles Android et iOS utilisées par des centaines de milliers de personnes chaque année. Chez Sherpa, le développement mobile doit dépasser la notion de plateforme; depuis 2022, notre stratégie est de…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sherpa,permanent,full_time,135000.0,70000.0
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNjY2NjQ5MSIsInMiOiJkdUZRdzJHUDhSR3dBZHRtX19oQ1JBIn0.FEYlx2R-ejqTsp6K4WcAdzQpJSMsxb2Ef-yWC8jyWAI,2026-08-03T11:06:22Z,-73.588138,https://www.adzuna.ca/details/5826666491?utm_medium=api&utm_source=e90db681,5826666491,Développeur.euse Mobile,"Développeur.euse Mobile Poste permanent à temps plein, bilingue (anglais/français) dans le Grand Montréal Sherpa recherche des développeurs et développeuses mobile, ayant de l’expérience sur iOS ou Android. En rejoignant l’équipe mobile de Sherpa, vous allez travailler sur des applications mobiles Android et iOS utilisées par des centaines de milliers de personnes chaque année. Chez Sherpa, le développement mobile doit dépasser la notion de plateforme; depuis 2022, notre stratégie est de collab…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sherpa,permanent,full_time,135000.0,70000.0
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNjY2NTM2OCIsInMiOiJkdUZRdzJHUDhSR3dBZHRtX19oQ1JBIn0.4aeZ2QV3TV8_sYYsBVCPENMEIiMZ5kxjPXPi4suv9fI,2026-08-03T11:03:56Z,-73.588138,https://www.adzuna.ca/details/5826665368?utm_medium=api&utm_source=e90db681,5826665368,Designer UI Freelance,"Designer UI Freelance Contrat à Montréal, à temps plein ou à temps partiel. Sherpa est à la recherche d’un(e) designer UI freelance bilingue pour revisiter, moderniser et faire évoluer les interfaces de ses produits mobiles ( Nomad ) et web ( Unify ). Il s’agit d’une occasion unique de transformer une gamme de produits éprouvée et largement adoptée par des centaines de milliers de participants à travers le monde. Nos plateformes permettent aux participants de se connecter, de développer leur ré…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sherpa,contract,,,
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiZHVGUXcyR1A4Ukd3QWR0bV9faENSQSIsImkiOiI1ODI2NjY1MDY5In0.0Eeiy5WN9qYpXSZLS4Sljvr8FDg5Qh5m5vPrDdAC1U4,2026-08-03T11:02:07Z,-73.588138,https://www.adzuna.ca/details/5826665069?utm_medium=api&utm_source=e90db681,5826665069,Développeur.euse Sénior iOS,"Développeur.euse Mobile Sénior iOS Poste permanent à temps plein, bilingue (FR/EN) dans le Grand Montréal À propos de Sherpa Sherpa est le principal fournisseur d'applications mobiles et de plateformes web pour les conventions et salons professionnels les plus importants aux États-Unis et en Europe. Nos solutions couvrent les événements hybrides, la géolocalisation intérieure, les portails d'exposants et les modules de recommandations personnalisées. Elles sont utilisés par des centaines de mil…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sherpa,permanent,full_time,165000.0,90000.0
45.544959,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgyNjY2NDc4NSIsInMiOiJkdUZRdzJHUDhSR3dBZHRtX19oQ1JBIn0.v3UfgR0AgrRgoGH_xMPfXHZZauu4A-pHE7EF6lyXiI0,2026-08-03T11:00:46Z,-73.588138,https://www.adzuna.ca/details/5826664785?utm_medium=api&utm_source=e90db681,5826664785,Développeur.euse Mobile,"Développeur.euse Mobile Poste permanent à temps plein, bilingue (anglais/français) dans le Grand Montréal Sherpa recherche des développeurs et développeuses mobile, ayant de l’expérience sur iOS ou Android. En rejoignant l’équipe mobile de Sherpa, vous allez travailler sur des applications mobiles Android et iOS utilisées par des centaines de milliers de personnes chaque année. Chez Sherpa, le développement mobile doit dépasser la notion de plateforme; depuis 2022, notre stratégie est de collab…",0,Adzuna::API::Response::Job,IT Jobs,Adzuna::API::Response::Category,it-jobs,"['Canada', 'Québec', 'Montréal']","Montréal, Québec",Adzuna::API::Response::Location,Adzuna::API::Response::Company,Sherpa,permanent,full_time,135000.0,70000.0
