job_title,company,location,description,salary_min,salary_max,created_date,contract_time,contract_type,salary_avg,python,sql,aws,azure,docker,kubernetes,java,react,power bi,tableau,spark
senior react native developer (remote),Rivalry,"Montréal, Québec","job description job description description reporting to: cto working closely with: engineering and product seniority: senior/lead tl/dr: we are looking to add a highly skilled and experienced react native developer to our team. you will help build and launch our new mobile app on android and ios platforms. you will work alongside both experienced and intermediate developers, and will be asked to collaborate with others as well as lead projects yourself. the nitty-gritty: leading by example, wh…",,,2026-05-20T05:38:24Z,,,,False,False,False,False,False,False,False,True,False,False,False
project and program portfolio coordinator,Ville de Laval,"Laval, Laval region","status: permanent job posting number: 3428 posting period: indeterminate salary: class 8 – from $85,895.68 to $112,986.29 / year schedule: 33.75 hours per week, day; monday to friday - 08:30 to 16:30 working mode: hybrid work location: pgo, 2455 curé-labelle boulevard, laval. the challenges that await you under the authority of the immediate supervisor, you are responsible for supporting various stakeholders in the design and improvement of processes, methods, and tools related to project and/o…",85895.0,112986.0,2026-05-20T05:33:04Z,full_time,permanent,99440.5,False,False,False,False,False,False,False,False,False,False,False
cyber incident response commander,Sopra Steria,"Montréal, Québec","job description the cyber incident response commander plays a critical leadership role in managing and coordinating the organization’s response to cybersecurity incidents. this role is responsible for ensuring that security events are effectively identified, assessed, contained, and remediated, while minimizing business impact. as part of the cert (computer emergency response team), the incident response commander works at the intersection of technical teams and business stakeholders, leading i…",,,2026-05-20T04:56:50Z,,,,False,False,False,False,False,False,False,False,False,False,False
devops pour infrastructure cloud - devops for cloud infrastructure,Gameloft,"Montréal, Québec","description du poste vous êtes un administrateur ou une administratrice système qui pense que l'automatisation est la clé du succès et qu'il faut éliminer les opérations redondantes et pénibles? ou vous êtes un développeur ou une développeuse passionné(e) par les composants d'infrastructure qui exécutent et supportent vos applications? si oui, alors ce poste est fait pour vous! en tant que spécialiste devops au sein du service d'infrastructure cloud de gameloft, vous serez responsable de l'amél…",,,2026-05-20T04:56:50Z,,,,False,False,False,False,False,False,False,False,False,False,False
commandant·e de réponse aux incidents cyber,Sopra Steria,"Montréal, Québec","description du poste la personne occupant le rôle de commandant·e de réponse aux incidents cyber joue un rôle clé dans la gestion et la coordination des réponses aux incidents de cybersécurité au sein de l’organisation. elle veille à ce que les événements de sécurité soient identifiés, évalués, contenus et résolus efficacement, tout en minimisant les impacts sur les activités. au sein du cert (computer emergency response team), cette personne agit à l’interface entre les équipes techniques et l…",,,2026-05-20T04:56:50Z,,,,False,False,False,False,False,False,False,False,False,False,False
ingénieur test logiciel embarqué / hsit - iso 26262,CS Group,"Montréal, Québec","description du poste nous recherchons un ingénieur test / vérification & validation logiciel embarqué, soucieux du détail, pour contribuer aux activités de test au sein d’une équipe hsit sur un contexte automobile. vous jouerez un rôle clé pour assurer la fiabilité, la performance et la qualité de composants logiciels embarqués, en lien étroit avec des équipes de développement et des pratiques outillées (ci/cd, intégration, suivi). responsabilités définir et exécuter des plans et cas de test. r…",,,2026-05-20T04:56:49Z,,,,False,False,False,False,False,False,False,False,False,False,False
[dungeons & dragons pc-console] programmeur(-euse) jouabilité sénior - senior gameplay programmer,Gameloft Montréal,"Montréal, Québec","description du poste rejoignez notre équipe talentueuse et lancez-vous avec nous dans une aventure vidéoludique inédite ! nous sommes à la recherche d'un(e) programmeur(-euse) jouabilité sénior qui mettra à contribution ses talents dans notre projet pc/console dungeons & dragons®. ce jeu novateur fusionnera des mécaniques action-rpg/survie avec les éléments uniques des jeux de simulation de vie pour redéfinir le genre et captiver l'imagination des joueurs du monde entier. dans ce rôle, vous col…",,,2026-05-20T04:56:49Z,,,,False,False,False,False,False,False,False,False,False,False,False
analyste d’affaires – domaine qualité (sap qm),Sopra Steria,"Mirabel, Laurentides","description du poste l’analyste d’affaires du domaine qualité contribue à un déploiement sap quality management (qm) à grande échelle pour un client du secteur aérospatial, hautement réglementé, dans la région de montréal. la personne titulaire du poste agit comme lien principal entre les parties prenantes métier et les équipes projet, en assurant la clarté des exigences, l’alignement des solutions et la réussite des phases de conception, de tests et de mise en production, dans un environnement…",,,2026-05-20T04:56:49Z,,,,False,False,False,False,False,False,False,False,False,False,False
quality domain business analyst (sap qm),Sopra Steria,"Mirabel, Laurentides","job description the quality domain business analyst plays a key role in a large-scale sap quality management (qm) deployment for a regulated aerospace client in the montréal area. this role acts as the primary link between business stakeholders and project teams, ensuring requirements clarity, solution alignment, and successful delivery across design, testing, and deployment phases. the position requires strong sap qm expertise, hands-on testing experience, and the ability to work in a bilingua…",,,2026-05-20T04:56:49Z,,,,False,False,False,False,False,False,False,False,False,False,False
senior software engineering manager,Medfar,"Montréal, Québec","job description the senior engineering manager, platform engineering owns the health, output, and growth of medfar’s foundational technical functions: cloud engineering, core architecture. this is a high-impact leadership role responsible for the organization and management of technical teams working to scale reliable, maintainable systems. you will bridge the gap between platform strategy and technical execution, ensuring product teams can move faster through reusable capabilities and robust o…",,,2026-05-20T04:56:49Z,,,,False,False,False,False,False,False,False,False,False,False,False
