adref,description,redirect_url,salary_is_predicted,created,latitude,title,id,longitude,__CLASS__,company.__CLASS__,company.display_name,location.display_name,location.area,location.__CLASS__,category.label,category.tag,category.__CLASS__,salary_min,contract_time,salary_max,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MDQxMDg3In0.8nGCuXr2hZwfvv3sOW8nH6b6L0pgghV1H88HAtY-4EQ,"Job Description Job Description Description Reporting to: CTO Working closely with: Engineering and Product Seniority: Senior/Lead TL/DR: We are looking to add a highly skilled and experienced React Native developer to our team. You will help build and launch our new mobile app on Android and iOS platforms. You will work alongside both experienced and intermediate developers, and will be asked to collaborate with others as well as lead projects yourself. The nitty-gritty: Leading by example, wh…",https://www.adzuna.ca/details/5735041087?utm_medium=api&utm_source=e90db681,0,2026-05-20T05:38:24Z,45.544959,Senior React Native Developer (Remote),5735041087,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Rivalry,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAzNDMyOCIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.k90941DoPCXG7x4F14zbydC_Cf1zsD1SToPr7r6SHp4,"STATUS: Permanent JOB POSTING NUMBER: 3428 POSTING PERIOD: Indeterminate SALARY: Class 8 – from $85,895.68 to $112,986.29 / year SCHEDULE: 33.75 hours per week, DAY; MONDAY to FRIDAY - 08:30 to 16:30 WORKING MODE: Hybrid WORK LOCATION: PGO, 2455 Curé-Labelle Boulevard, Laval. The challenges that await you Under the authority of the immediate supervisor, you are responsible for supporting various stakeholders in the design and improvement of processes, methods, and tools related to project and/o…",https://www.adzuna.ca/details/5735034328?utm_medium=api&utm_source=e90db681,0,2026-05-20T05:33:04Z,45.581149,Project and Program Portfolio Coordinator,5735034328,-73.742893,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Ville de Laval,"Laval, Laval region","['Canada', 'Québec', 'Laval region', 'Laval']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,85895.0,full_time,112986.0,permanent
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MDA2NzA2In0.La821mqc_bm-8KQS_VdCkv25E05npp03B7KKxmnlftA,"Job Description The Cyber Incident Response Commander plays a critical leadership role in managing and coordinating the organization’s response to cybersecurity incidents. This role is responsible for ensuring that security events are effectively identified, assessed, contained, and remediated, while minimizing business impact. As part of the CERT (Computer Emergency Response Team), the Incident Response Commander works at the intersection of technical teams and business stakeholders, leading i…",https://www.adzuna.ca/details/5735006706?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:50Z,45.544959,Cyber Incident Response Commander,5735006706,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Sopra Steria,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAwNjc2MCIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.fVloFqlZTVOzhj_f2s0kMoHBo6ASPlOoZlmfdbo85Z8,"Description du poste Vous êtes un administrateur ou une administratrice système qui pense que l'automatisation est la clé du succès et qu'il faut éliminer les opérations redondantes et pénibles? OU Vous êtes un développeur ou une développeuse passionné(e) par les composants d'infrastructure qui exécutent et supportent vos applications? Si oui, alors ce poste est fait pour vous! En tant que spécialiste DevOps au sein du service d'infrastructure cloud de Gameloft, vous serez responsable de l'amél…",https://www.adzuna.ca/details/5735006760?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:50Z,45.544959,DevOps pour infrastructure cloud - DevOps for Cloud Infrastructure,5735006760,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Gameloft,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MDA2Njc0In0.b9h-MKqqhgScoxiJChslDRZLe_XdUk8rBQK0gUl95rg,"Description du poste La personne occupant le rôle de Commandant·e de réponse aux incidents cyber joue un rôle clé dans la gestion et la coordination des réponses aux incidents de cybersécurité au sein de l’organisation. Elle veille à ce que les événements de sécurité soient identifiés, évalués, contenus et résolus efficacement, tout en minimisant les impacts sur les activités. Au sein du CERT (Computer Emergency Response Team), cette personne agit à l’interface entre les équipes techniques et l…",https://www.adzuna.ca/details/5735006674?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:50Z,45.544959,Commandant·e de réponse aux incidents cyber,5735006674,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Sopra Steria,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiUkpWUkNuNVU4UkdCNjhYN20yVU9xUSIsImkiOiI1NzM1MDA2NjExIn0.SLgYMleQ-MOn-RR7bcXISIv-OHK-x3txyEK-AU9XV8A,"Description du poste Nous recherchons un ingénieur test / vérification & validation logiciel embarqué, soucieux du détail, pour contribuer aux activités de test au sein d’une équipe HSIT sur un contexte Automobile. Vous jouerez un rôle clé pour assurer la fiabilité, la performance et la qualité de composants logiciels embarqués, en lien étroit avec des équipes de développement et des pratiques outillées (CI/CD, intégration, suivi). Responsabilités Définir et exécuter des plans et cas de test. R…",https://www.adzuna.ca/details/5735006611?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:49Z,45.544959,Ingénieur Test Logiciel Embarqué / HSIT - ISO 26262,5735006611,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,CS Group,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAwNjU0MyIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0._pRSfN1_nmT9L5jimLI9_0-G3LGSg3RsuXYeUwv4Log,"Description du poste Rejoignez notre équipe talentueuse et lancez-vous avec nous dans une aventure vidéoludique inédite ! Nous sommes à la recherche d'un(e) Programmeur(-euse) jouabilité sénior qui mettra à contribution ses talents dans notre projet PC/console Dungeons & Dragons®. Ce jeu novateur fusionnera des mécaniques action-RPG/survie avec les éléments uniques des jeux de simulation de vie pour redéfinir le genre et captiver l'imagination des joueurs du monde entier. Dans ce rôle, vous col…",https://www.adzuna.ca/details/5735006543?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:49Z,45.544959,[Dungeons & Dragons PC-Console] Programmeur(-euse) jouabilité sénior - Senior Gameplay Programmer,5735006543,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Gameloft Montréal,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAwNjU3OCIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.UYyALkC62jnrW_LLL7vl7SijZlyJ9F28BCIog0UIJ38,"Description du poste L’analyste d’affaires du domaine Qualité contribue à un déploiement SAP Quality Management (QM) à grande échelle pour un client du secteur aérospatial, hautement réglementé, dans la région de Montréal. La personne titulaire du poste agit comme lien principal entre les parties prenantes métier et les équipes projet, en assurant la clarté des exigences, l’alignement des solutions et la réussite des phases de conception, de tests et de mise en production, dans un environnement…",https://www.adzuna.ca/details/5735006578?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:49Z,45.649659,Analyste d’affaires – Domaine Qualité (SAP QM),5735006578,-74.043014,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Sopra Steria,"Mirabel, Laurentides","['Canada', 'Québec', 'Laurentides', 'Mirabel']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAwNjYzNSIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.a6MiaA5aEu4SsmTvQ28ZNeT94MIudENh3YZRe8sc9bE,"Job Description The Quality Domain Business Analyst plays a key role in a large-scale SAP Quality Management (QM) deployment for a regulated aerospace client in the Montréal area. This role acts as the primary link between business stakeholders and project teams, ensuring requirements clarity, solution alignment, and successful delivery across design, testing, and deployment phases. The position requires strong SAP QM expertise, hands-on testing experience, and the ability to work in a bilingua…",https://www.adzuna.ca/details/5735006635?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:49Z,45.649659,Quality Domain Business Analyst (SAP QM),5735006635,-74.043014,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Sopra Steria,"Mirabel, Laurentides","['Canada', 'Québec', 'Laurentides', 'Mirabel']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczNTAwNjUzMyIsInMiOiJSSlZSQ241VThSR0I2OFg3bTJVT3FRIn0.wCUKEYMdRZkmHVxsTLxTZZMAcmS0ac3r_gA6NRZ5H5Y,"Job Description The Senior Engineering Manager, Platform Engineering owns the health, output, and growth of MEDFAR’s foundational technical functions: Cloud Engineering, Core Architecture. This is a high-impact leadership role responsible for the organization and management of technical teams working to scale reliable, maintainable systems. You will bridge the gap between platform strategy and technical execution, ensuring product teams can move faster through reusable capabilities and robust o…",https://www.adzuna.ca/details/5735006533?utm_medium=api&utm_source=e90db681,0,2026-05-20T04:56:49Z,45.544959,Senior Software Engineering Manager,5735006533,-73.588138,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Medfar,"Montréal, Québec","['Canada', 'Québec', 'Montréal']",Adzuna::API::Response::Location,IT Jobs,it-jobs,Adzuna::API::Response::Category,,,,
